date,platform,brand,text,likes,comments,saves,category
2026-06-13,小红书,BrandA,早八人需要续命水 轻负担也要有氛围感,188,24,66,食品
2026-06-13,微博,BrandB,通勤回血包安排上 班味退散从小习惯开始,245,36,41,家清
2026-06-13,抖音,BrandC,松弛感妆容今天不费力 懒人精致也能在线,312,41,93,美妆
2026-06-13,小红书,BrandD,空瓶党真实反馈 这次主打省心局,164,19,58,数码
2026-06-13,微博,BrandA,反向种草一下 不夸张不堆料只要轻负担,138,17,22,美妆
2026-06-13,抖音,BrandB,多巴胺补给来一点 下班回血包很需要,329,55,88,食品
2026-06-14,小红书,BrandC,氛围感小物提升幸福感 省心局适合周末,276,31,79,家清
2026-06-14,微博,BrandD,早八续命水不是玄学 是打工人的小确幸,341,48,102,食品
2026-06-14,抖音,BrandA,懒人精致公式上线 轻负担妆容很友好,295,37,90,美妆
2026-06-14,小红书,BrandB,班味退散计划 从桌面到心情都要省心局,221,29,64,数码
2026-06-14,微博,BrandC,空瓶党说真话 续命水口感清爽不腻,184,21,57,食品
2026-06-14,抖音,BrandD,通勤回血包开箱 反向种草复杂步骤,263,39,74,家清
2026-06-15,小红书,BrandA,松弛感不是躺平 是把日常做成省心局,254,30,71,家清
2026-06-15,微博,BrandB,多巴胺补给今天补满 早八人也要快乐,366,62,99,食品
2026-06-15,抖音,BrandC,轻负担护肤思路 懒人精致不等于随便,288,40,87,美妆
2026-06-15,小红书,BrandD,氛围感耳机清单 通勤回血包不能少,402,75,118,数码
2026-06-15,微博,BrandA,反向种草过度包装 省心局才是真需求,172,20,46,家清
2026-06-15,抖音,BrandB,空瓶党二刷 续命水和小零食一起回血,319,44,96,食品
2026-06-16,小红书,BrandC,早八续命水热度还在 轻负担早餐更好坚持,297,34,88,食品
2026-06-16,微博,BrandD,班味退散挑战 上班也能保留一点松弛感,356,51,107,美妆
2026-06-16,抖音,BrandA,省心局清洁方案 不需要复杂仪式感,232,26,63,家清
2026-06-16,小红书,BrandB,氛围感桌搭上线 多巴胺补给来自小屏幕,389,68,133,数码
2026-06-16,微博,BrandC,懒人精致妆前步骤 早八人也能五分钟出门,276,39,91,美妆
2026-06-16,抖音,BrandD,反向种草盲目跟风 空瓶党更看长期体验,199,25,58,美妆
2026-06-17,小红书,BrandA,通勤回血包今天更新 续命水和轻负担小食,381,57,122,食品
2026-06-17,微博,BrandB,松弛感家务不是偷懒 是把流程变省心局,263,32,83,家清
2026-06-17,抖音,BrandC,多巴胺补给色系好上头 氛围感直接拉满,452,81,144,数码
2026-06-17,小红书,BrandD,早八人反向种草厚重底妆 懒人精致更适合,244,28,76,美妆
2026-06-17,微博,BrandA,空瓶党总结 轻负担配方适合夏天,219,24,69,美妆
2026-06-17,抖音,BrandB,班味退散靠一点小改变 下班回血包上线,377,53,111,食品
2026-06-18,小红书,BrandC,省心局厨房改造 反向种草复杂收纳,258,35,94,家清
2026-06-18,微博,BrandD,续命水新喝法 早八续命水变成办公室暗号,418,71,139,食品
2026-06-18,抖音,BrandA,氛围感香气让班味退散 松弛感从进门开始,365,59,126,家清
2026-06-18,小红书,BrandB,懒人精致不是懒 是轻负担解决方案,299,42,101,美妆
2026-06-18,微博,BrandC,通勤回血包里的数码小物 多巴胺补给很直接,443,78,150,数码
2026-06-18,抖音,BrandD,空瓶党理性复盘 省心局比花活更重要,236,31,72,家清
2026-06-19,小红书,BrandA,多巴胺补给开始降温 但氛围感还在线,286,33,90,数码
2026-06-19,微博,BrandB,早八人继续找续命水 轻负担口味更稳,329,44,104,食品
2026-06-19,抖音,BrandC,班味退散小喷雾 通勤回血包又被问爆,471,86,162,家清
2026-06-19,小红书,BrandD,松弛感底妆轻轻一层 懒人精致刚好,338,49,119,美妆
2026-06-19,微博,BrandA,反向种草焦虑式护肤 空瓶党更爱稳定,224,29,70,美妆
2026-06-19,抖音,BrandB,省心局晚餐不用纠结 续命水搭配轻食,392,62,131,食品
2026-06-20,小红书,BrandC,早八续命水热度回落一点 但早八人还在讨论,284,35,82,食品
2026-06-20,微博,BrandD,松弛感被说太泛 反向种草过度包装,198,26,54,美妆
2026-06-20,抖音,BrandA,氛围感收纳小物 省心局内容继续有人收藏,317,46,112,家清
2026-06-20,小红书,BrandB,通勤回血包升级 班味退散靠香气和音乐,486,88,169,数码
2026-06-20,微博,BrandC,懒人精致护发法 轻负担护理更适合夏天,352,53,125,美妆
2026-06-20,抖音,BrandD,多巴胺补给不只颜色 也可以是口味惊喜,401,69,142,食品
2026-06-21,小红书,BrandA,通勤回血包连更第三天 班味退散话题升温,528,96,181,数码
2026-06-21,微博,BrandB,省心局清洁路线 收藏率比点赞更高,384,58,149,家清
2026-06-21,抖音,BrandC,轻负担底妆搭配懒人精致 出门速度加快,426,74,155,美妆
2026-06-21,小红书,BrandD,早八人换口味 续命水出现疲态但仍有评论,261,32,69,食品
2026-06-21,微博,BrandA,氛围感香氛让班味退散 适合办公室场景,493,91,173,家清
2026-06-21,抖音,BrandB,反向种草花哨功能 空瓶党只认真实体验,308,43,96,数码
2026-06-22,小红书,BrandC,班味退散成了评论区口头禅 通勤回血包继续扩散,612,118,210,数码
2026-06-22,微博,BrandD,省心局家清清单 一步到位才是轻负担,447,82,170,家清
2026-06-22,抖音,BrandA,懒人精致早餐搭配 多巴胺补给换成水果色,501,93,188,食品
2026-06-22,小红书,BrandB,氛围感妆容不卷 轻负担更有真实感,398,61,146,美妆
2026-06-22,微博,BrandC,早八续命水被反向种草 太甜版本评论分化,233,38,55,食品
2026-06-22,抖音,BrandD,空瓶党开始讨论省心局 复购理由很具体,421,73,158,家清
2026-06-23,小红书,BrandA,班味退散热度爆了 通勤回血包被做成清单,735,146,266,数码
2026-06-23,微博,BrandB,轻负担护肤搭上懒人精致 评论区都在问步骤,584,112,219,美妆
2026-06-23,抖音,BrandC,省心局厨房挑战 一条视频讲清楚少走弯路,553,101,207,家清
2026-06-23,小红书,BrandD,氛围感小食和续命水 早八人收藏备用,396,65,132,食品
2026-06-23,微博,BrandA,多巴胺补给有点审美疲劳 但彩色包装仍吸睛,342,49,101,食品
2026-06-23,抖音,BrandB,反向种草复杂参数 空瓶党更喜欢一句话卖点,377,58,129,数码
2026-06-24,小红书,BrandC,通勤回血包继续霸榜 班味退散四个字太好用了,821,173,302,数码
2026-06-24,微博,BrandD,省心局洗衣路线 轻负担家务内容很适配,608,124,241,家清
2026-06-24,抖音,BrandA,懒人精致变成早八人刚需 妆容要快也要稳,676,138,257,美妆
2026-06-24,小红书,BrandB,氛围感香气加松弛感故事 评论区开始接梗,544,99,205,家清
2026-06-24,微博,BrandC,续命水热度明显衰减 早八续命水需要新场景,226,29,61,食品
2026-06-24,抖音,BrandD,空瓶党省心局联动 真实复购理由更有说服力,489,86,183,美妆
2026-06-25,小红书,BrandA,班味退散持续升温 通勤回血包适合做系列内容,914,201,348,数码
2026-06-25,微博,BrandB,轻负担和省心局一起出现 家清内容更容易收藏,672,137,279,家清
2026-06-25,抖音,BrandC,懒人精致不是敷衍 是早八人自救方案,742,159,291,美妆
2026-06-25,小红书,BrandD,氛围感小物带来松弛感 评论区说班味退散,631,123,244,数码
2026-06-25,微博,BrandA,多巴胺补给进入观察期 需要更具体的消费场景,319,44,86,食品
2026-06-25,抖音,BrandB,反向种草过度承诺 空瓶党提醒看真实反馈,402,67,137,美妆
2026-06-26,小红书,BrandC,通勤回血包今天继续冲 班味退散已经成标题模板,1032,238,401,数码
2026-06-26,微博,BrandD,省心局内容爆发中 轻负担家务让收藏率更高,788,166,319,家清
2026-06-26,抖音,BrandA,懒人精致和早八人绑定 轻负担妆容适合快速试水,856,184,332,美妆
2026-06-26,小红书,BrandB,氛围感香氛让班味退散 适合下班回血包场景,704,152,286,家清
2026-06-26,微博,BrandC,续命水不再新鲜 早八续命水需要反向种草复盘,218,31,59,食品
2026-06-26,抖音,BrandD,空瓶党认可省心局 真实体验比花哨话术更稳,533,94,202,美妆
